id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,2,0,2,0,1,0,0,1,1,-,-,1,0,0,2,3,1,1,1,1,1,1,0,0,3,0,0,3,2,1,1,-,0,0,1,-,0,2,32
2370,Karim Benzema,Real Madrid,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,1,1,2,1,3,0,-,-,0,0,18
2098,Luis Suárez,Barcelona,0,0,1,1,0,0,0,0,0,2,2,0,0,-,1,1,0,1,2,1,0,0,0,0,1,0,1,1,0,1,1,-,0,0,0,-,-,-,17
3210,Wissam Ben Yedder,Sevilla,-,0,-,0,3,1,0,1,0,0,-,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,16
2290,Iago Aspas,Celta Vigo,0,0,1,1,2,1,0,0,0,3,0,0,0,2,0,0,0,-,-,-,-,-,0,-,-,-,-,-,1,1,1,-,1,0,0,0,0,1,15
4229,Raúl de Tomás,Rayo Vallecano,-,-,0,1,0,1,0,1,0,0,0,1,0,0,0,-,1,0,3,0,1,0,0,0,1,0,1,0,1,0,1,1,0,-,-,0,0,0,14
2543,Borja Iglesias,Espanyol,0,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-,0,0,1,0,0,1,0,0,1,1,0,14
1709,Cristhian Stuani,Girona,0,0,1,2,2,0,0,2,0,-,-,0,2,0,0,0,0,0,1,-,0,0,0,0,0,2,0,0,1,-,0,0,0,0,0,-,1,-,14
2399,Iñaki Williams,Athletic Club,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,13
2270,Antoine Griezmann,Atletico Madrid,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,-,1,0,0,0,0,12
2155,Jorge Molina,Getafe,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,12
6124,Maxi Gómez,Celta Vigo,0,1,1,0,1,0,1,0,-,-,2,0,1,0,1,0,0,0,0,0,0,0,0,-,0,0,0,0,1,0,1,0,0,1,0,1,0,0,12
2199,Pablo Sarabia,Sevilla,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,-,0,0,0,0,0,1,0,0,0,1,-,-,1,0,1,-,0,0,0,1,-,11
2566,Roger,Levante,1,0,2,0,1,0,-,-,0,1,0,0,1,1,0,-,0,0,0,1,0,0,0,-,1,0,0,0,0,0,1,0,0,-,0,-,-,1,11
7009,Jaime Mata,Getafe,0,0,0,-,-,0,1,0,0,0,0,0,1,1,0,-,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-,0,10
2234,Mikel Oyarzabal,Real Sociedad,0,0,0,0,0,0,0,0,0,-,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,10
5657,Karl Toko Ekambi,Villarreal,0,0,0,0,0,1,0,1,0,0,0,0,-,0,0,-,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,1,0,0,-,1,-,10
5169,Youssef En-Nesyri,Leganes,0,0,0,-,0,0,0,0,-,0,0,-,1,0,0,0,0,0,1,0,2,1,3,0,0,-,0,0,-,-,-,0,0,0,0,1,0,0,9
2186,Morales,Levante,2,0,0,0,0,0,0,0,1,0,0,0,-,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9
6955,Ezequiel Ávila,SD Huesca,0,1,0,0,0,0,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,1,1,0,-,0,9
6170,André Silva,Sevilla,3,0,0,0,1,2,1,0,0,0,-,0,1,0,0,0,0,0,0,0,1,0,0,0,-,0,0,0,-,0,-,-,-,-,-,-,-,-,9
2381,Rodrigo,Valencia,1,0,0,0,-,0,0,0,0,0,0,0,0,-,0,1,0,0,0,1,1,0,0,-,0,1,0,0,0,0,0,-,0,-,0,2,0,1,8
2120,Gerard Moreno,Villarreal,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,-,0,0,0,1,-,-,0,0,0,1,0,1,0,1,8
4136,Ángel,Getafe,0,1,0,2,0,0,0,0,0,0,0,0,0,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8
2339,Charles,Eibar,0,0,1,0,-,0,0,0,0,0,0,0,0,0,1,0,-,0,-,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-,0,0,8
3226,Ousmane Dembélé,Barcelona,0,1,1,1,0,0,0,0,0,0,1,-,1,0,1,0,1,0,0,1,-,-,0,0,0,0,0,-,-,-,-,0,0,0,0,0,-,-,8
6118,Portu,Girona,0,0,-,0,0,0,0,0,0,1,-,-,-,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,8
2135,Sergi Enrich,Eibar,0,0,0,1,0,0,0,1,0,0,0,-,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-,0,1,-,0,0,0,0,0,0,0,0,7
2400,Raúl García,Athletic Club,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,1,0,0,1,0,1,0,1,0,0,1,0,-,0,0,1,0,7
2384,Santi Mina,Valencia,0,0,0,-,0,-,-,-,-,-,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,2,0,0,0,2,1,0,7
1672,Jonathan Calleri,Alaves,-,-,-,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-,0,0,0,1,7
5681,Giovani Lo Celso,Real Betis,-,-,-,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,-,0,1,-,0,0,0,0,0,2,1,0,-,0,0,0,0,7
2251,Gareth Bale,Real Madrid,1,1,1,0,-,0,0,0,0,0,0,0,0,0,1,-,0,-,-,-,1,0,1,0,0,0,-,1,0,0,0,0,0,0,0,-,-,-,7
2361,Willian José,Real Sociedad,1,0,0,-,-,1,0,-,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,-,0,-,-,0,0,0,-,0,0,0,1,0,0,7
2442,Kevin Gameiro,Valencia,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-,-,-,-,0,0,-,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6
2148,Joaquín,Real Betis,-,-,1,0,0,0,0,0,-,-,0,1,0,0,0,0,0,0,0,-,-,0,-,0,1,1,0,0,0,0,0,0,0,0,0,0,2,-,6
1804,Álvaro Morata,Atletico Madrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,2,-,0,1,0,0,1,0,1,0,0,0,-,6
2401,Muniain,Athletic Club,1,0,1,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-,0,-,0,0,-,0,0,0,0,6
6528,Loren Morón,Real Betis,0,0,0,-,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-,0,0,-,0,-,1,0,0,-,0,0,0,0,0,0,1,6
2106,Munir,Sevilla,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,-,0,0,0,0,0,1,1,0,2,0,0,0,1,5
897,Juanmi,Real Sociedad,1,0,0,0,0,-,-,-,0,0,0,1,0,0,0,0,0,-,0,0,0,-,-,-,0,0,0,-,0,1,0,1,1,0,0,0,0,0,5
1125,Carlos Bacca,Villarreal,0,0,0,1,0,0,0,0,0,-,-,-,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1,0,0,1,0,0,0,0,0,5
7208,Samuel Chukwueze,Villarreal,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,1,0,1,0,0,0,0,0,-,5
5682,Gonçalo Guedes,Valencia,-,-,-,0,0,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,0,0,-,0,1,0,0,1,0,1,2,0,0,0,0,0,5
2216,Jony,Alaves,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-,-,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
488,Philippe Coutinho,Barcelona,1,0,0,0,0,1,0,0,1,1,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,-,5
3424,Guido Carrillo,Leganes,0,0,0,0,0,-,0,1,0,0,1,0,0,2,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,5
1701,Borja Bastón,Alaves,0,0,1,-,-,-,-,-,0,1,0,0,0,-,0,0,0,1,1,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,1,0,0,-,5
7349,Enric Gallego,SD Huesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,5
2571,Sergio Canales,Real Betis,0,0,0,0,1,0,0,0,0,0,1,1,0,-,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,1,0,0,-,0,0,-,-,-,5
6227,Brais Méndez,Celta Vigo,0,-,0,0,0,-,0,-,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,-,-,-,0,0,0,0,5
1421,Cristian Tello,Real Betis,-,0,0,-,0,-,0,0,-,0,0,0,0,0,-,1,0,0,0,1,0,-,-,-,-,0,0,0,1,0,0,1,0,0,0,0,0,0,4
2378,Daniel Parejo,Valencia,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2266,Saúl Ñíguez,Atletico Madrid,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,1,-,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,-,4
2073,Coke,Levante,0,0,0,-,-,-,-,-,-,-,-,0,0,-,0,0,0,1,0,1,0,0,0,1,-,0,0,0,0,0,0,0,0,1,0,0,0,-,4
2437,Gonzalo Escalante,Eibar,1,0,-,0,0,0,-,-,-,-,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,4
2092,Gerard Piqué,Barcelona,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-,0,-,0,0,0,-,0,0,4
2621,Sergi Darder,Espanyol,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,-,0,0,1,0,0,0,-,0,-,0,1,0,0,0,1,0,0,0,4
6570,Óscar Rodríguez,Leganes,-,-,-,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,-,-,0,-,0,1,0,0,4
