id,name,team,1,total
1250,Mohamed Salah,Liverpool,3,3
755,Jamie Vardy,Leicester,2,2
1746,Jeff Hendrick,Newcastle United,1,1
522,Wilfried Zaha,Crystal Palace,1,1
935,Kurt Zouma,Chelsea,1,1
1389,Jorginho,Chelsea,1,1
8067,Reece James,Chelsea,1,1
3277,Alexandre Lacazette,Arsenal,1,1
5613,Gabriel,Arsenal,1,1
468,Callum Wilson,Newcastle United,1,1
5555,Dominic Calvert-Lewin,Everton,1,1
833,Virgil van Dijk,Liverpool,1,1
7698,Leandro Trossard,Brighton,1,1
3491,Romain Saiss,Wolverhampton Wanderers,1,1
4105,Raúl Jiménez,Wolverhampton Wanderers,1,1
822,Patrick Bamford,Leeds,1,1
4381,Mateusz Klich,Leeds,1,1
8720,Jack Harrison,Leeds,1,1
6157,Timothy Castagne,Leicester,1,1
318,Pierre-Emerick Aubameyang,Arsenal,1,1
843,James Ward-Prowse,Southampton,0,0
6048,Lewis Dunk,Brighton,0,0
1791,Trent Alexander-Arnold,Liverpool,0,0
3420,Fabinho,Liverpool,0,0
5247,Naby Keita,Liverpool,0,0
6665,Curtis Jones,Liverpool,0,0
1653,Michael Keane,Everton,0,0
239,Pascal Groß,Brighton,0,0
486,Adam Lallana,Brighton,0,0
2385,Mat Ryan,Brighton,0,0
3621,Neal Maupay,Brighton,0,0
5609,Yves Bissouma,Brighton,0,0
6049,Solly March,Brighton,0,0
5656,Nicolas Pepe,Arsenal,0,0
6842,Alireza Jahanbakhsh,Brighton,0,0
7298,Ben White,Brighton,0,0
7699,Adam Webster,Brighton,0,0
7991,Aaron Connolly,Brighton,0,0
8020,Steven Alzate,Brighton,0,0
8226,Tariq Lamptey,Brighton,0,0
661,Josh Onomah,Fulham,0,0
773,Aleksandar Mitrovic,Fulham,0,0
910,Harrison Reed,Fulham,0,0
3683,Ivan Cavaleiro,Fulham,0,0
1688,Andrew Robertson,Liverpool,0,0
1257,Alisson,Liverpool,0,0
987,Joseph Gomez,Liverpool,0,0
838,Sadio Mané,Liverpool,0,0
8089,Kieran Tierney,Arsenal,0,0
2383,André Gomes,Everton,0,0
2249,James Rodríguez,Everton,0,0
87,Joelinton,Newcastle United,0,0
101,Allan Saint-Maximin,Newcastle United,0,0
537,Andy Carroll,Newcastle United,0,0
708,Federico Fernández,Newcastle United,0,0
